repeat_id,all_Hit@1,all_Hit@3,all_MRR,ge2_Hit@1,ge2_Hit@3,ge2_MRR,ge3_Hit@1,ge3_Hit@3,ge3_MRR
167,0.9411764705882353,0.9831932773109243,0.9642857142857144,0.125,0.75,0.46875,0.0,0.6666666666666666,0.37499999999999994
168,0.9411764705882353,0.9663865546218487,0.9588001867413632,0.125,0.5,0.3871527777777778,0.0,0.3333333333333333,0.2662037037037037
169,0.9747899159663865,0.9915966386554622,0.9815926370548218,0.625,0.875,0.7261904761904762,0.5,0.8333333333333334,0.6349206349206349
170,0.9327731092436975,0.9747899159663865,0.9568160597572363,0.0,0.625,0.35763888888888884,0.0,0.5,0.3101851851851852
171,0.9495798319327731,0.9663865546218487,0.9618347338935574,0.25,0.5,0.43229166666666663,0.16666666666666666,0.3333333333333333,0.3263888888888889
172,0.9411764705882353,0.9663865546218487,0.957983193277311,0.125,0.5,0.37499999999999994,0.0,0.3333333333333333,0.25
173,0.9495798319327731,0.9747899159663865,0.9641456582633053,0.25,0.625,0.4666666666666667,0.16666666666666666,0.5,0.3722222222222222
174,0.957983193277311,0.9831932773109243,0.9728391356542617,0.375,0.75,0.5959821428571428,0.16666666666666666,0.6666666666666666,0.4613095238095238
175,0.957983193277311,0.9747899159663865,0.9715219421101774,0.375,0.625,0.5763888888888888,0.3333333333333333,0.5,0.5185185185185185
176,0.9495798319327731,0.9831932773109243,0.9681372549019608,0.25,0.75,0.5260416666666666,0.16666666666666666,0.6666666666666666,0.4513888888888889
177,0.9495798319327731,0.9663865546218487,0.9639992360580596,0.25,0.5,0.46448863636363635,0.0,0.3333333333333333,0.28598484848484845
178,0.9327731092436975,0.9747899159663865,0.9553621448579432,0.0,0.625,0.3360119047619048,0.0,0.5,0.2813492063492063
179,0.957983193277311,0.9663865546218487,0.9678671468587434,0.375,0.5,0.5220238095238094,0.16666666666666666,0.3333333333333333,0.3626984126984127
180,0.9411764705882353,0.9915966386554622,0.9646358543417366,0.125,0.875,0.4739583333333333,0.16666666666666666,0.8333333333333334,0.46527777777777773
181,0.957983193277311,0.9747899159663865,0.9703881552621049,0.375,0.625,0.5595238095238095,0.3333333333333333,0.5,0.496031746031746
182,0.9327731092436975,0.9831932773109243,0.9572829131652661,0.0,0.75,0.3645833333333333,0.0,0.6666666666666666,0.3194444444444444
183,0.957983193277311,0.9831932773109243,0.9721288515406162,0.375,0.75,0.5854166666666667,0.3333333333333333,0.6666666666666666,0.5305555555555556
184,0.9495798319327731,0.9747899159663865,0.9624516473255968,0.25,0.625,0.44146825396825395,0.0,0.5,0.2552910052910053
185,0.9327731092436975,0.9831932773109243,0.9607843137254901,0.0,0.75,0.41666666666666663,0.0,0.6666666666666666,0.3888888888888889
186,0.9495798319327731,0.9747899159663865,0.9647759103641457,0.25,0.625,0.4760416666666667,0.16666666666666666,0.5,0.3847222222222222
187,0.9495798319327731,0.9747899159663865,0.964235694277711,0.25,0.625,0.4680059523809524,0.16666666666666666,0.5,0.3740079365079365
188,0.957983193277311,0.9831932773109243,0.9733893557422969,0.375,0.75,0.6041666666666666,0.16666666666666666,0.6666666666666666,0.47222222222222215
189,0.957983193277311,0.9915966386554622,0.9716386554621849,0.375,0.875,0.578125,0.3333333333333333,0.8333333333333334,0.5208333333333334
190,0.9411764705882353,0.9831932773109243,0.9616346538615445,0.125,0.75,0.42931547619047616,0.16666666666666666,0.6666666666666666,0.4057539682539682
191,0.9327731092436975,0.9747899159663865,0.9543067226890755,0.0,0.625,0.3203125,0.0,0.5,0.26041666666666663
192,0.9495798319327731,0.9663865546218487,0.9641656662665066,0.25,0.5,0.4669642857142857,0.16666666666666666,0.3333333333333333,0.3726190476190476
193,0.9495798319327731,0.9747899159663865,0.965126050420168,0.25,0.625,0.48124999999999996,0.16666666666666666,0.5,0.39166666666666666
194,0.957983193277311,0.9831932773109243,0.9709383753501399,0.375,0.75,0.5677083333333333,0.16666666666666666,0.6666666666666666,0.4236111111111111
195,0.9663865546218487,0.9831932773109243,0.9763305322128852,0.5,0.75,0.6479166666666667,0.3333333333333333,0.6666666666666666,0.5305555555555556
196,0.9411764705882353,0.9663865546218487,0.9589635854341737,0.125,0.5,0.38958333333333334,0.16666666666666666,0.3333333333333333,0.3527777777777778
197,0.9495798319327731,0.9831932773109243,0.9701680672268908,0.25,0.75,0.55625,0.16666666666666666,0.6666666666666666,0.4916666666666667
198,0.9495798319327731,0.9747899159663865,0.966100076394194,0.25,0.625,0.49573863636363635,0.3333333333333333,0.5,0.4943181818181818
